,Symbol,Name,Industry,IndustryCode
121,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
122,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
123,RPRX,Royalty Pharma PLC Class A,제약,562010
124,FITB,Fifth Third Bancorp,은행,551010
125,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
126,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
127,XP,Xp Inc Class A,투자은행 및 서비스,551020
128,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
129,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
130,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
131,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
132,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
133,CERN,Cerner Corp,헬스케어 장비 및 용품,561010
134,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
135,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
136,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
137,DLTR,Dollar Tree Inc,다양한 소매업,534020
138,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
139,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
140,FUTU,Futu Holdings Ltd ADR,핀테크,573010
141,ENPH,Enphase Energy Inc,재생에너지,502010
142,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
143,TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
144,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
145,DISH,DISH Network Corp Class A,미디어 및 출판,533020
146,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
147,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
148,ETSY,ETSY Inc,다양한 소매업,534020
149,TER,Teradyne Inc,반도체 및 반도체 장비,571010
150,HZNP,Horizon Therapeutics PLC,제약,562010
151,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
152,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
153,STNE,StoneCo Ltd Class A,핀테크,573010
154,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
155,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
156,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
157,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
158,TSCO,Tractor Supply Co,전문품 상점,534030
159,HBAN,Huntington Bancshares Inc,은행,551010
160,ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
161,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
162,DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
163,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
164,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
165,SOFI,SoFi Technologies Inc,기타 금융업,556010
166,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
167,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
168,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
169,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
170,GRUB,Just Eat Takeaway.com NV ADR,소프트웨어 및 IT서비스,572010
171,CINF,Cincinnati Financial Corp,보험,553010
172,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
173,AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
174,INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
175,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
176,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
177,ULTA,Ulta Beauty Inc,전문품 상점,534030
178,VTRS,Viatris Inc,제약,562010
179,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
180,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
181,UAL,United Airlines Holdings Inc,운송업,524060
182,POOL,Pool Corp,레저 상품,532050
183,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
184,HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
185,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
186,BPY,Brookfield Property Partners LP Unit,부동산 운영 관리,601010
187,PLUG,Plug Power Inc,재생에너지,502010
188,PFG,Principal Financial Group Inc,보험,553010
189,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
190,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
191,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
192,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
193,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
194,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
195,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
196,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
197,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
198,CG,Carlyle Group Inc,투자은행 및 서비스,551020
199,OTLY,Oatly Group AB (publ) ADR,식품 및 담배,541020
200,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
201,MQ,Marqeta Inc Class A,핀테크,573010
202,FANG,Diamondback Energy Inc,오일 및 가스,501020
203,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
204,NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
205,ACGL,Arch Capital Group Ltd,보험,553010
206,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
207,ZLAB,Zai Lab Ltd ADR,제약,562010
208,BMRN,Biomarin Pharmaceutical Inc,제약,562010
209,GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
210,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
211,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
212,LNT,Alliant Energy Corp,전기 유틸리티,591010
213,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
214,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
215,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
216,AAL,American Airlines Group Inc,운송업,524060
217,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
218,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
219,SBNY,Signature Bank,은행,551010
220,IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
221,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
222,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
223,SEDG,Solaredge Technologies Inc,재생에너지,502010
224,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
225,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
226,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
227,ARVL,Arrival SA,기타 금융업,556010
228,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
229,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
230,HAS,Hasbro Inc,레저 상품,532050
231,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
232,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
233,STLD,Steel Dynamics Inc,메탈&마이닝,512010
234,MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
235,FOXA,Fox Corp Class A,미디어 및 출판,533020
236,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
237,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
238,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
239,OZON,Ozon Holdings PLC ADR,전자 장비 및 부품,571040
240,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
241,IQ,iQIYI Inc ADR,소프트웨어 및 IT서비스,572010
242,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
243,ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
244,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
245,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
246,FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
247,NWL,Newell Brands Inc,가정용품,532040
248,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
249,PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
250,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
251,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
252,TSP,TuSimple Holdings Inc Class A,통합 하드웨어 및 소프트웨어,571070
253,PRAH,PRA Health Sciences Inc,생명과학 및 메디컬 리서치,562020
254,WB,Weibo Corp ADR,미디어 및 출판,533020
255,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
256,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
257,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
258,CREE,Cree Inc,반도체 및 반도체 장비,571010
259,CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
260,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
261,RUN,Sunrun Inc,재생에너지,502010
262,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
263,MORN,Morningstar Inc,전문 및 상업 서비스,522030
264,UHAL,Amerco,화물 및 물류 서비스,524050
265,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
266,FIVE,Five Below Inc,다양한 소매업,534020
267,LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
268,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
269,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
270,DLO,Dlocal Ltd Class A,,
271,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
272,NWSA,News Corp Class A,미디어 및 출판,533020
273,PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
274,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
275,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
276,OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
277,EWBC,East West Bancorp Inc,은행,551010
278,LFST,Lifestance Health Group Inc,헬스케어 업체 및 서비스,561020
279,UPST,Upstart Holdings Inc,은행,551010
280,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
281,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
282,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
283,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
284,BYND,Beyond Meat Inc,식품 및 담배,541020
285,BBIO,BridgeBio Pharma Inc,제약,562010
286,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
287,APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
288,CGC,Canopy Growth Corp,제약,562010
289,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
290,DISCK,Discovery Inc Series C,미디어 및 출판,533020
291,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
292,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
293,MIDD,Middleby Corp,가정용품,532040
294,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
295,FOX,Fox Corp Class B,미디어 및 출판,533020
296,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
297,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
298,BLDR,Builders FirstSource Inc,주택건설,532030
299,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
300,SEIC,SEI Investments Co,투자은행 및 서비스,551020
301,ERIE,Erie Indemnity Co Class A,보험,553010
302,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
303,FLEX,Flex Ltd,전자 장비 및 부품,571040
304,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
305,CBSH,Commerce Bancshares Inc,은행,551010
306,ARCC,Ares Capital Corp,다양한 금융서비스,555010
307,CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
308,ZION,Zions Bancorporation NA,은행,551010
309,FSLR,First Solar Inc,재생에너지,502010
310,MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
311,PAA,Plains All American Pipeline LP,오일 및 가스 장비 및 서비스,501030
312,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
313,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
314,APA,APA Corp (US),오일 및 가스,501020
315,FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
316,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
317,LAZR,Luminar Technologies Inc Class A,전자 장비 및 부품,571040
318,AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
319,TLRY,Tilray Inc,제약,562010
320,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
321,XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
322,ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
323,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
324,FSV,FirstService Corp,부동산 운영 관리,601010
325,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
326,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
327,PBCT,People's United Financial Inc,은행,551010
328,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
329,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
330,KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
331,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
332,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
333,CRCT,Cricut Inc Class A,전문품 상점,534030
334,RGLD,Royal Gold Inc,메탈&마이닝,512010
335,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
336,IIVI,II-VI Inc,전자 장비 및 부품,571040
337,SGMS,Scientific Games Corp,호텔 및 엔터테인먼트,533010
338,CACC,Credit Acceptance Corp,은행,551010
339,BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
340,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
341,VMEO,Vimeo Inc,소프트웨어 및 IT서비스,572010
342,STAA,STAAR Surgical Co,헬스케어 장비 및 용품,561010
343,CROX,Crocs Inc,섬유 및 의류,532020
344,FRPT,Freshpet Inc,식품 및 담배,541020
345,FFIN,First Financial Bankshares Inc,은행,551010
346,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
347,ANGI,Angi Inc Class A,소프트웨어 및 IT서비스,572010
348,WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
349,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
350,SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
351,DADA,Dada Nexus Ltd ADR,소프트웨어 및 IT서비스,572010
352,MAT,Mattel Inc,레저 상품,532050
353,QFIN,360 DigiTech Inc ADR,은행,551010
354,NKLA,Nikola Corporation,자동차 및 자동차 부품,531010
355,COLM,Columbia Sportswear Co,섬유 및 의류,532020
356,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
357,SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
358,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
359,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
360,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
361,APPS,Digital Turbine Inc,소프트웨어 및 IT서비스,572010
362,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
363,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
364,PNFP,Pinnacle Financial Partners Inc,은행,551010
365,DOOO,BRP Inc,레저 상품,532050
366,RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
367,COHR,Coherent Inc,전자 장비 및 부품,571040
368,SLM,SLM Corp,은행,551010
369,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
370,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
371,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
372,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
373,RDFN,Redfin Corp,부동산 운영 관리,601010
374,CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
375,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
376,REYN,Reynolds Consumer Products Inc,가정용품,532040
377,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
378,ABCL,Abcellera Biologics Inc,생명과학 및 메디컬 리서치,562020
379,VRNS,Varonis Systems Inc,소프트웨어 및 IT서비스,572010
380,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
381,MSTR,Microstrategy Inc Class A,소프트웨어 및 IT서비스,572010
382,NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
383,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
384,UPWK,Upwork Inc,전문 및 상업 서비스,522030
385,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
386,RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
387,NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
388,PAAS,Pan American Silver Corp,메탈&마이닝,512010
389,SSB,South State Corp,은행,551010
390,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
391,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
392,JCOM,j2 Global Inc,소프트웨어 및 IT서비스,572010
393,BOKF,BOK Financial Corp,은행,551010
394,BPOP,Popular Inc,은행,551010
395,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
396,AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
397,RXRX,Recursion Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
398,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
399,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
400,PACB,Pacific Biosciences of California Inc,헬스케어 장비 및 용품,561010
401,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
402,OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
403,CAR,Avis Budget Group Inc,운송업,524060
404,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
405,TFSL,TFS Financial Corp,은행,551010
406,VIR,Vir Biotechnology Inc,생명과학 및 메디컬 리서치,562020
407,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
408,CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
409,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
410,IMAB,I-Mab ADR,제약,562010
411,TRIP,Tripadvisor Inc,호텔 및 엔터테인먼트,533010
412,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
413,ADPT,Adaptive Biotechnologies Corp,생명과학 및 메디컬 리서치,562020
414,VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
415,PGNY,Progyny Inc,헬스케어 업체 및 서비스,561020
416,VRM,Vroom Inc,소프트웨어 및 IT서비스,572010
417,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
418,TWST,Twist Bioscience Corp,제약,562010
419,IRDM,Iridium Communications Inc,통신 서비스,574010
420,JBLU,JetBlue Airways Corp,운송업,524060
421,VLY,Valley National Bancorp,은행,551010
422,YY,JOYY Inc ADR,소프트웨어 및 IT서비스,572010
